"Your order cannot be completed at this time as there is no payment methods available for it.","Su orden no se puede completar en este momento ya que no hay métodos de pago disponibles para ello."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Su orden no se puede completar en este momento ya que no hay métodos de envío disponibles para ello. Por favor, haga los cambios necesarios en su dirección de envío."
"Your order has been received.","Tu orden ha sido recibida."
"Your order number is ","Su número de orden es"
"Your recurring payment profiles:","Sus perfiles de pago recurrentes:"
"Zip/Postal Code","Distrito"


"Enter your coupon code:","Ingrese su código de cupón:"
"Name & Address","Nombre y dirección"
"LOGIN HERE","Iniciar Sesión aquí"
"Fill in the Fields below to complete your purchase!","Rellena los campos siguientes para completar su compra!"
"Sign Up for Newsletter","Suscribirse al boletín"
"Create an account for later use","Crear una cuenta para su uso posterior"
"Login to your Account","Accede a tu cuenta"
"Forgot Your Password?","Olvidaste Tu Contraseña?"
"Submit","Enviar"
"Close","Cerrar"
"Cancel","Cancelar"
"Review Your Order","Revise Su Orden"
