PER,Región/Estado,Ciudad,Distrito,Zip/Postal Code From,Zip/Postal Code To,Weight From,Weight To,Precio de envío,Delivery Type
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,HUANCAS                                                                         ,*,*,4.42,6.6,9,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,LA JALCA                                                                        ,*,*,4.42,6.6,9.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,LEIMEBAMBA                                                                      ,*,*,6.62,8.8,10.5,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,LEVANTO                                                                         ,*,*,6.62,8.8,11.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,MAGDALENA                                                                       ,*,*,8.82,11,12,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,MARISCAL CASTILLA                                                               ,*,*,8.82,11,13.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,MOLINOPAMPA                                                                     ,*,*,11.02,13.2,13.5,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,MONTEVIDEO                                                                      ,*,*,11.02,13.2,15.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,OLLEROS                                                                         ,*,*,13.22,15.4,15,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,QUINJALCA                                                                       ,*,*,13.22,15.4,17.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,SAN FRANCISCO DE DAGUAS                                                         ,*,*,15.42,17.6,19.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,SAN ISIDRO DE MAINO                                                             ,*,*,15.42,17.6,16.5,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,SOLOCO                                                                          ,*,*,17.62,19.8,21.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,SONCHE                                                                          ,*,*,17.62,19.8,18,Olva Courier
PER,AMAZONAS                                                                        ,CONDORCANQUI                                                                    ,NIEVA                                                                           ,*,*,19.82,22,23.5,Serpost
PER,AMAZONAS                                                                        ,CONDORCANQUI                                                                    ,EL CENEPA                                                                       ,*,*,19.82,22,19.5,Olva Courier
PER,AMAZONAS                                                                        ,CONDORCANQUI                                                                    ,RIO SANTIAGO                                                                    ,*,*,0,2.2,5.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,LAMUD                                                                           ,*,*,0,99,0,Recoger en tienda
PER,AMAZONAS                                                                        ,LUYA                                                                            ,CAMPORREDONDO                                                                   ,*,*,0,2.2,6,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,COCABAMBA                                                                       ,*,*,2.22,4.4,7.5,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,COLCAMAR                                                                        ,*,*,2.22,4.4,7.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,CONILA                                                                          ,*,*,4.42,6.6,9,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,INGUILPATA                                                                      ,*,*,4.42,6.6,9.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,LONGUITA                                                                        ,*,*,6.62,8.8,10.5,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,LONYA CHICO                                                                     ,*,*,6.62,8.8,11.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,LUYA                                                                            ,*,*,8.82,11,12,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,LUYA VIEJO                                                                      ,*,*,8.82,11,13.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,MARIA                                                                           ,*,*,11.02,13.2,13.5,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,OCALLI                                                                          ,*,*,11.02,13.2,15.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,OCUMAL                                                                          ,*,*,13.22,15.4,15,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,PISUQUIA                                                                        ,*,*,13.22,15.4,17.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,PROVIDENCIA                                                                     ,*,*,15.42,17.6,19.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,SAN CRISTOBAL                                                                   ,*,*,15.42,17.6,16.5,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,SAN FRANCISCO DEL YESO                                                          ,*,*,17.62,19.8,21.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,SAN JERONIMO                                                                    ,*,*,17.62,19.8,18,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,SAN JUAN DE LOPECANCHA                                                          ,*,*,19.82,22,23.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,SANTA CATALINA                                                                  ,*,*,19.82,22,19.5,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,SANTO TOMAS                                                                     ,*,*,19.82,22,19.5,Olva Courier
PER,AMAZONAS                                                                        ,LUYA                                                                            ,TINGO                                                                           ,*,*,2.22,4.4,10.5,Serpost
PER,AMAZONAS                                                                        ,LUYA                                                                            ,TRITA                                                                           ,*,*,2.22,4.4,10.5,Serpost
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,SAN NICOLAS                                                                     ,*,*,2.22,4.4,12,Olva Courier
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,CHIRIMOTO                                                                       ,*,*,4.42,6.6,14.5,Serpost
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,COCHAMAL                                                                        ,*,*,4.42,6.6,14,Olva Courier
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,HUAMBO                                                                          ,*,*,6.62,8.8,18.5,Serpost
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,LIMABAMBA                                                                       ,*,*,6.62,8.8,16,Olva Courier
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,LONGAR                                                                          ,*,*,8.82,11,22.5,Serpost
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,MARISCAL BENAVIDES                                                              ,*,*,8.82,11,18,Olva Courier
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,MILPUC                                                                          ,*,*,11.02,13.2,26.5,Serpost
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,OMIA                                                                            ,*,*,11.02,13.2,20,Olva Courier
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,SANTA ROSA                                                                      ,*,*,13.22,15.4,30.5,Serpost
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,TOTORA                                                                          ,*,*,13.22,15.4,22,Olva Courier
PER,AMAZONAS                                                                        ,RODRIGUEZ DE MENDOZA                                                            ,VISTA ALEGRE                                                                    ,*,*,15.42,17.6,24,Olva Courier
PER,AMAZONAS                                                                        ,UTCUBAMBA                                                                       ,BAGUA GRANDE                                                                    ,*,*,15.42,17.6,34.5,Serpost
PER,AMAZONAS                                                                        ,UTCUBAMBA                                                                       ,CAJARURO                                                                        ,*,*,17.62,19.8,26,Olva Courier
PER,AMAZONAS                                                                        ,UTCUBAMBA                                                                       ,CUMBA                                                                           ,*,*,17.62,19.8,38.5,Serpost
PER,AMAZONAS                                                                        ,UTCUBAMBA                                                                       ,EL MILAGRO                                                                      ,*,*,19.82,22,28,Olva Courier
PER,AMAZONAS                                                                        ,UTCUBAMBA                                                                       ,JAMALCA                                                                         ,*,*,19.82,22,42.5,Serpost
PER,AMAZONAS                                                                        ,UTCUBAMBA                                                                       ,LONYA GRANDE                                                                    ,*,*,0,2.2,5.5,Serpost
PER,AMAZONAS                                                                        ,UTCUBAMBA                                                                       ,YAMON                                                                           ,*,*,0,99,0,Recoger en tienda
PER,ANCASH                                                                          ,AIJA                                                                            ,AIJA                                                                            ,*,*,0,2.2,6,Olva Courier
PER,ANCASH                                                                          ,AIJA                                                                            ,CORIS                                                                           ,*,*,2.22,4.4,7.5,Olva Courier
PER,ANCASH                                                                          ,AIJA                                                                            ,HUACLLAN                                                                        ,*,*,2.22,4.4,7.5,Serpost
PER,ANCASH                                                                          ,AIJA                                                                            ,LA MERCED                                                                       ,*,*,4.42,6.6,9,Olva Courier
PER,ANCASH                                                                          ,AIJA                                                                            ,SUCCHA                                                                          ,*,*,4.42,6.6,9.5,Serpost
PER,ANCASH                                                                          ,ANTONIO RAYMONDI                                                                ,LLAMELLIN                                                                       ,*,*,6.62,8.8,10.5,Olva Courier
PER,ANCASH                                                                          ,ANTONIO RAYMONDI                                                                ,ACZO                                                                            ,*,*,6.62,8.8,11.5,Serpost
PER,ANCASH                                                                          ,ANTONIO RAYMONDI                                                                ,CHACCHO                                                                         ,*,*,8.82,11,12,Olva Courier
PER,ANCASH                                                                          ,ANTONIO RAYMONDI                                                                ,CHINGAS                                                                         ,*,*,8.82,11,13.5,Serpost
PER,ANCASH                                                                          ,ANTONIO RAYMONDI                                                                ,MIRGAS                                                                          ,*,*,11.02,13.2,13.5,Olva Courier
PER,ANCASH                                                                          ,ANTONIO RAYMONDI                                                                ,SAN JUAN DE RONTOY                                                              ,*,*,11.02,13.2,15.5,Serpost
PER,ANCASH                                                                          ,ASUNCION                                                                        ,CHACAS                                                                          ,*,*,13.22,15.4,15,Olva Courier
PER,ANCASH                                                                          ,ASUNCION                                                                        ,ACOCHACA                                                                        ,*,*,13.22,15.4,17.5,Serpost
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,CHIQUIAN                                                                        ,*,*,15.42,17.6,19.5,Serpost
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,ABELARDO PARDO LEZAMETA                                                         ,*,*,15.42,17.6,16.5,Olva Courier
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,ANTONIO RAYMONDI                                                                ,*,*,17.62,19.8,21.5,Serpost
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,AQUIA                                                                           ,*,*,17.62,19.8,18,Olva Courier
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,CAJACAY                                                                         ,*,*,19.82,22,23.5,Serpost
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,CANIS                                                                           ,*,*,19.82,22,19.5,Olva Courier
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,COLQUIOC                                                                        ,*,*,0,2.2,5.5,Serpost
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,HUALLANCA                                                                       ,*,*,0,99,0,Recoger en tienda
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,HUASTA                                                                          ,*,*,0,2.2,6,Olva Courier
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,HUAYLLACAYAN                                                                    ,*,*,2.22,4.4,7.5,Olva Courier
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,LA PRIMAVERA                                                                    ,*,*,2.22,4.4,7.5,Serpost
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,MANGAS                                                                          ,*,*,4.42,6.6,9,Olva Courier
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,PACLLON                                                                         ,*,*,4.42,6.6,9.5,Serpost
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,SAN MIGUEL DE CORPANQUI                                                         ,*,*,6.62,8.8,10.5,Olva Courier
PER,ANCASH                                                                          ,BOLOGNESI                                                                       ,TICLLOS                                                                         ,*,*,6.62,8.8,11.5,Serpost
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,CARHUAZ                                                                         ,*,*,8.82,11,12,Olva Courier
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,ACOPAMPA                                                                        ,*,*,8.82,11,13.5,Serpost
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,AMASHCA                                                                         ,*,*,11.02,13.2,13.5,Olva Courier
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,ANTA                                                                            ,*,*,11.02,13.2,15.5,Serpost
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,ATAQUERO                                                                        ,*,*,13.22,15.4,15,Olva Courier
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,MARCARA                                                                         ,*,*,13.22,15.4,17.5,Serpost
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,PARIAHUANCA                                                                     ,*,*,15.42,17.6,19.5,Serpost
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,SAN MIGUEL DE ACO                                                               ,*,*,15.42,17.6,16.5,Olva Courier
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,SHILLA                                                                          ,*,*,17.62,19.8,21.5,Serpost
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,TINCO                                                                           ,*,*,17.62,19.8,18,Olva Courier
PER,ANCASH                                                                          ,CARHUAZ                                                                         ,YUNGAR                                                                          ,*,*,19.82,22,23.5,Serpost
PER,ANCASH                                                                          ,CARLOS FERMIN FITZCARRALD                                                       ,SAN LUIS                                                                        ,*,*,19.82,22,19.5,Olva Courier
PER,ANCASH                                                                          ,CARLOS FERMIN FITZCARRALD                                                       ,SAN NICOLAS                                                                     ,*,*,19.82,22,19.5,Olva Courier
PER,ANCASH                                                                          ,CARLOS FERMIN FITZCARRALD                                                       ,YAUYA                                                                           ,*,*,2.22,4.4,10.5,Serpost
PER,ANCASH                                                                          ,CASMA                                                                           ,CASMA                                                                           ,*,*,2.22,4.4,10.5,Serpost
PER,ANCASH                                                                          ,CASMA                                                                           ,BUENA VISTA ALTA                                                                ,*,*,2.22,4.4,12,Olva Courier
PER,ANCASH                                                                          ,CASMA                                                                           ,COMANDANTE NOEL                                                                 ,*,*,4.42,6.6,14.5,Serpost
PER,ANCASH                                                                          ,CASMA                                                                           ,YAUTAN                                                                          ,*,*,4.42,6.6,14,Olva Courier
PER,ANCASH                                                                          ,CORONGO                                                                         ,CORONGO                                                                         ,*,*,6.62,8.8,18.5,Serpost
PER,ANCASH                                                                          ,CORONGO                                                                         ,ACO                                                                             ,*,*,6.62,8.8,16,Olva Courier
PER,ANCASH                                                                          ,CORONGO                                                                         ,BAMBAS                                                                          ,*,*,8.82,11,22.5,Serpost
PER,ANCASH                                                                          ,CORONGO                                                                         ,CUSCA                                                                           ,*,*,8.82,11,18,Olva Courier
PER,ANCASH                                                                          ,CORONGO                                                                         ,LA PAMPA                                                                        ,*,*,11.02,13.2,26.5,Serpost
PER,ANCASH                                                                          ,CORONGO                                                                         ,YANAC                                                                           ,*,*,11.02,13.2,20,Olva Courier
PER,ANCASH                                                                          ,CORONGO                                                                         ,YUPAN                                                                           ,*,*,13.22,15.4,30.5,Serpost
PER,ANCASH                                                                          ,HUARAZ                                                                          ,HUARAZ                                                                          ,*,*,13.22,15.4,22,Olva Courier
PER,ANCASH                                                                          ,HUARAZ                                                                          ,COCHABAMBA                                                                      ,*,*,15.42,17.6,24,Olva Courier
PER,ANCASH                                                                          ,HUARAZ                                                                          ,COLCABAMBA                                                                      ,*,*,15.42,17.6,34.5,Serpost
PER,ANCASH                                                                          ,HUARAZ                                                                          ,HUANCHAY                                                                        ,*,*,17.62,19.8,26,Olva Courier
PER,ANCASH                                                                          ,HUARAZ                                                                          ,INDEPENDENCIA                                                                   ,*,*,17.62,19.8,38.5,Serpost
PER,ANCASH                                                                          ,HUARAZ                                                                          ,JANGAS                                                                          ,*,*,19.82,22,28,Olva Courier
PER,ANCASH                                                                          ,HUARAZ                                                                          ,LA LIBERTAD                                                                     ,*,*,19.82,22,42.5,Serpost
PER,ANCASH                                                                          ,HUARAZ                                                                          ,OLLEROS                                                                         ,*,*,0,2.2,5.5,Serpost
PER,ANCASH                                                                          ,HUARAZ                                                                          ,PAMPAS                                                                          ,*,*,0,99,0,Recoger en tienda
PER,ANCASH                                                                          ,HUARAZ                                                                          ,PARIACOTO                                                                       ,*,*,0,2.2,6,Olva Courier
PER,ANCASH                                                                          ,HUARAZ                                                                          ,PIRA                                                                            ,*,*,2.22,4.4,7.5,Olva Courier
PER,ANCASH                                                                          ,HUARAZ                                                                          ,TARICA                                                                          ,*,*,2.22,4.4,7.5,Serpost
PER,ANCASH                                                                          ,HUARI                                                                           ,HUARI                                                                           ,*,*,4.42,6.6,9,Olva Courier
PER,ANCASH                                                                          ,HUARI                                                                           ,ANRA                                                                            ,*,*,4.42,6.6,9.5,Serpost
PER,ANCASH                                                                          ,HUARI                                                                           ,CAJAY                                                                           ,*,*,6.62,8.8,10.5,Olva Courier
PER,ANCASH                                                                          ,HUARI                                                                           ,CHAVIN DE HUANTAR                                                               ,*,*,6.62,8.8,11.5,Serpost
PER,ANCASH                                                                          ,HUARI                                                                           ,HUACACHI                                                                        ,*,*,8.82,11,12,Olva Courier
PER,ANCASH                                                                          ,HUARI                                                                           ,HUACCHIS                                                                        ,*,*,8.82,11,13.5,Serpost
